Column1,T-Likes,T-Retweets,T-Tweets,T-Media,T-Follows,F-Likes,F-Talking,F-W-Here,G-Found,Total,People,Products,Likes
care,0,0,0,0,0,1241955,30793,2434,346000000,347275182,1275182,346030793,1241955
sure,0,0,0,0,0,143338,567,155,312000000,312144060,144060,312000567,143338
close,0,0,0,0,0,19864,828,0,271000000,271020692,20692,271000828,19864
liked,0,0,0,0,0,364549,75595,0,226000000,226440144,440144,226075595,364549
free,0,0,3955,1037,695000,3426849,994533,15546,152000000,157136920,5131928,152999525,3426849
great,0,0,0,0,0,5899198,501293,2155623,150000000,158556114,8556114,150501293,5899198
good,0,0,0,0,0,24018952,5390766,10097,140000000,169419815,29419815,145390766,24018952
love,2,677,0,0,0,17479136,3222440,0,134000000,154702255,20701576,137223117,17479138
open,0,0,0,0,0,2372966,16820,240402,125000000,127630188,2630188,125016820,2372966
high,0,0,0,0,0,2276648,5646,9604,122000000,124291898,2291898,122005646,2276648
social,0,0,0,0,0,4000445,1603341,210,98600000,104203996,5603996,100203341,4000445
happy,0,0,1780,228,131000,14051200,656892,0,76200000,91041100,14839092,76858900,14051200
content,2380,2311,57700,6221,187000,187096,90978,998,72900000,73434684,466072,73057210,189476
connected,0,0,0,0,0,141729,10151,817,60100000,60252697,152697,60110151,141729
hope,0,0,91581,3693,39606,3348084,106679,30290,59900000,63519933,3524659,60101953,3348084
power,0,0,16700,7925,149000,21749891,26648434,634062,58000000,107206012,49181387,84673059,21749891
hard,0,0,51700,6271,477900,498641,20109,0,56900000,57954621,996650,56978080,498641
excited,0,0,0,0,0,45222,18476,0,56800000,56863698,63698,56818476,45222
interested,365298,254014,0,0,0,21746,958,0,56300000,56942016,22704,56554972,387044
related,0,0,5913,2470,351000,193680,12169,916,55000000,55566148,557765,55020552,193680
amazed,0,0,0,0,0,23918,183,2992,52500000,52527093,27093,52500183,23918
hot,0,0,0,0,0,34927107,255627,79191,52100000,87361925,35261925,52355627,34927107
important,0,106056,0,0,0,25192,3160,302,51600000,51734710,28654,51709216,25192
bad,0,0,0,0,0,13719798,638660,0,45500000,59858458,14358458,46138660,13719798
far,0,0,0,0,0,45741,5458,28055,45500000,45579254,79254,45505458,45741
awesome,0,0,0,0,0,12136326,5258769,38611,44400000,61833706,17433706,49658769,12136326
closed,0,0,5030,259,3571,58266,1467,23860,42400000,42492453,87164,42406756,58266
proud,18,1,0,0,0,6131269,1720074,1777,40400000,48253139,7853120,42120075,6131287
control,0,0,0,0,0,431145,24159,112541,40100000,40667845,567845,40124159,431145
inspiration,0,0,0,0,0,2583919,710753,1187,39600000,42895859,3295859,40310753,2583919
kind,0,0,0,0,0,469200,18704,0,38700000,39187904,487904,38718704,469200
easy,0,0,0,0,0,13249360,2299131,266427,38300000,54114918,15814918,40599131,13249360
lucky,0,0,2960,725,253000,1465678,44490,3048,36200000,37969901,1766216,36248175,1465678
reserved,0,0,0,0,0,2111534,1427,469,35600000,37713430,2113430,35601427,2111534
security,0,0,0,0,0,9596758,25944,0,34600000,44222702,9622702,34625944,9596758
lost,0,0,0,0,0,10175537,30014,27824,32100000,42333375,10233375,32130014,10175537
energy,0,0,0,0,0,24811882,492553,3164,31900000,57207599,25307599,32392553,24811882
strong,0,0,9608,1651,21500,595938,40083,19195,31900000,32587975,676716,31951342,595938
creative,0,0,29000,7,206000,31460215,3357714,26,30500000,65552962,35023955,33886721,31460215
creativity,0,0,10800,6726,144000,3027094,817195,810,30400000,34406625,3989099,31234721,3027094
wonderful,0,0,0,0,0,10499506,2592057,0,29500000,42591563,13091563,32092057,10499506
inspired,756,215,26600,17700,55400,834499,11655,101,28800000,29746926,901655,28856170,835255
accepted,0,0,0,0,0,818255,7768,516,28100000,28926539,826539,28107768,818255
friendly,0,0,0,0,0,948956,161569,55930,26100000,27266455,1166455,26261569,948956
unique,0,0,0,0,0,6141826,1112510,56,25700000,32954392,7254392,26812510,6141826
loved,0,0,0,0,0,76464,7379,110,25400000,25483953,83953,25407379,76464
toward,0,0,0,0,0,5402,38,67,24300000,24305507,5507,24300038,5402
smart,0,0,10953,1447,972700,5073756,2487802,33418,23800000,32380076,8567676,26300202,5073756
blessed,0,0,0,0,0,2167339,3749223,29,23700000,29616591,5916591,27449223,2167339
worked,18719,17837,0,0,0,161579,2586,13,23100000,23300734,164178,23120423,180298
trust,121,8,2208,64,20000,4273043,1372558,520,21900000,27568522,5666121,23274838,4273164
sense,0,0,0,0,0,1095157,800501,20988,21600000,23516646,1916646,22400501,1095157
concern,0,0,10800,1212,42300,909762,67492,4080,21600000,22635646,1023634,21679504,909762
connection,0,0,0,0,0,3064038,258777,2890,21500000,24825705,3325705,21758777,3064038
positive,0,0,0,0,0,13624305,4500188,0,21300000,39424493,18124493,25800188,13624305
surprise,0,0,0,0,0,691668,58110,0,20900000,21649778,749778,20958110,691668
cross,0,0,5815,96,3942,926940,10741,53533,20700000,21701067,995156,20716652,926940
interest,0,0,5462,733,328000,2744425,51413,0,19800000,22930033,3123838,19857608,2744425
passion,0,0,0,0,0,1850423,36788,2225,19500000,21389436,1889436,19536788,1850423
peace,0,0,23066,4126,1590400,1031563,35365,426,19000000,21684946,2657754,19062557,1031563
surprised,4387,10461,0,0,0,1520690,89468,0,18800000,20425006,1610158,18899929,1525077
hate,0,0,0,0,0,563402,707932,9,18600000,19871343,1271343,19307932,563402
glad,0,0,8344,704,32500,52612,1159,6550,18600000,18701869,92821,18610207,52612
worry,14491,10372,616,31,11800,7322,178,656,18500000,18545466,19956,18511197,21813
difficult,0,0,0,0,0,5150060,3003876,0,18300000,26453936,8153936,21303876,5150060
powerful,5297,5275,0,0,0,7176,351,0,18300000,18318099,7527,18305626,12473
loss,0,0,0,0,0,582974,4055,1550,18100000,18688579,588579,18104055,582974
acting,0,0,0,0,0,127232,1353,5173,18000000,18133758,133758,18001353,127232
cold,0,0,1,0,0,3867238,1613662,19827,17900000,23400728,5500727,19513663,3867238
crazy,0,0,0,0,0,5098623,1395072,188,17800000,24293883,6493883,19195072,5098623
determined,8,1,0,0,0,4341,75,1452,17800000,17805877,5868,17800076,4349
dedicated,0,0,0,0,0,71267,18009,1532,17300000,17390808,90808,17318009,71267
respect,0,0,0,0,0,2301587,133905,8135,17100000,19543627,2443627,17233905,2301587
sad,0,0,0,0,0,530042,383184,1413,17100000,18014639,914639,17483184,530042
played,0,0,21600,2790,17400,15006,148,884,17100000,17157828,33438,17124538,15006
joy,0,0,84600,866,237000,2660071,9904,0,17000000,19992441,2906975,17095370,2660071
alone,0,0,0,0,0,1348265,1503258,2,17000000,19851525,2851525,18503258,1348265
warm,0,0,9461,532,3959,63959,468,7293,17000000,17085672,75679,17010461,63959
attraction,0,0,0,0,0,7073794,2559244,199,16800000,26433237,9633237,19359244,7073794
patient,0,0,0,0,0,14242,205,97,16400000,16414544,14544,16400205,14242
basic,0,0,0,0,0,51364,824,12487,16000000,16064675,64675,16000824,51364
certain,0,0,0,0,0,48241,981,347,15200000,15249569,49569,15200981,48241
loving,0,0,0,0,0,185552,59471,26864,14800000,15071887,271887,14859471,185552
fear,0,0,0,0,0,3823518,123445,0,14700000,18646963,3946963,14823445,3823518
